<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAVL,D,25.03.2009,10:00:00,0.05,0.05,0.05,0.05,40000
BAVL,D,26.03.2009,10:00:00,0.0804,0.0816,0.079,0.081,3870000
BAVL,D,27.03.2009,10:00:00,0.0805,0.0805,0.079,0.079,1070000
BAVL,D,30.03.2009,10:00:00,0.0785,0.0785,0.0785,0.0785,650000
BAVL,D,01.04.2009,10:00:00,0.08,0.081,0.08,0.081,790000
BAVL,D,02.04.2009,10:00:00,0.0825,0.0865,0.081,0.0865,1570000
BAVL,D,03.04.2009,10:00:00,0.09,0.113,0.09,0.103,5140000
BAVL,D,06.04.2009,10:00:00,0.1055,0.128,0.1055,0.125,3790000
BAVL,D,07.04.2009,10:00:00,0.123,0.123,0.1197,0.1199,1240000
BAVL,D,08.04.2009,10:00:00,0.11,0.1185,0.109,0.118,3150000
BAVL,D,09.04.2009,10:00:00,0.127,0.133,0.127,0.132,3380000
BAVL,D,10.04.2009,10:00:00,0.14,0.14,0.137,0.1375,1000000
BAVL,D,13.04.2009,10:00:00,0.136,0.141,0.134,0.138,2390000
BAVL,D,14.04.2009,10:00:00,0.135,0.1425,0.134,0.137,3570000
BAVL,D,15.04.2009,10:00:00,0.138,0.1385,0.1355,0.138,800000
BAVL,D,16.04.2009,10:00:00,0.14,0.151,0.14,0.151,1830000
BAVL,D,17.04.2009,10:00:00,0.1575,0.165,0.1515,0.157,4410000
BAVL,D,21.04.2009,10:00:00,0.138,0.1485,0.136,0.1395,4180000
BAVL,D,22.04.2009,10:00:00,0.14,0.147,0.14,0.1435,5790000
BAVL,D,23.04.2009,10:00:00,0.144,0.155,0.144,0.153,3960000
BAVL,D,24.04.2009,10:00:00,0.156,0.156,0.156,0.156,410000
BAVL,D,27.04.2009,10:00:00,0.1525,0.16,0.1525,0.16,2060000
BAVL,D,28.04.2009,10:00:00,0.155,0.155,0.152,0.1525,1150000
BAVL,D,29.04.2009,10:00:00,0.159,0.1655,0.157,0.1655,2170000
BAVL,D,30.04.2009,10:00:00,0.173,0.174,0.1715,0.172,850000
